Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2013-01-11 00:00:00,10.69,PO0160760R1284,808702.2820398082,5611888.753064909,133.0,122.31,18.0,122.56555555555558,81.0,POINT (808702.2820398082 5611888.753064909),[62.587733],0.0,0,1,115.0,120.88282539864059,-1.6827301569149853
2014-11-04 00:00:00,3.44,PO0161220R0519,799529.4203198091,5606770.199600786,101.0,97.56,35.0,97.48327272727276,55.0,POINT (799529.4203198091 5606770.199600786),[37.850692],0.0,0,1,66.0,111.41253820099585,13.929265473723092
2013-01-04 00:00:00,7.44,PO0161290R0001,792581.0978178822,5615299.223956737,142.0,134.56,30.0,134.29075000000003,80.0,POINT (792581.0978178822 5615299.223956737),[79.844133],0.0,0,1,112.0,152.55326780187633,18.2625178018763
2013-01-11 00:00:00,10.75,PO0161770U0001,811107.27407072,5606420.130954957,109.0,98.25,60.0,98.398125,80.0,POINT (811107.27407072 5606420.130954957),[40.056636],0.0,0,1,49.0,103.68826341853031,5.290138418530319
2013-01-18 00:00:00,2.77,PO0161830R0003,801782.6739012516,5611382.536777992,122.0,119.23,62.0,118.53674999999998,80.0,POINT (801782.6739012516 5611382.536777992),[59.087567],0.0,0,1,60.0,133.60405924186864,15.067309241868656
2015-03-27 00:00:00,13.86,PO016219NUP001,788099.9946044711,5611259.0965981865,129.0,115.14,57.0,115.9284,50.0,POINT (788099.9946044711 5611259.0965981865),[50.],0.0,0,1,72.0,124.15690768096647,8.228507680966473
2013-01-31 00:00:00,18.12,PO0170290RC490,845959.3548279945,5608970.653286783,139.0,120.88,34.0,120.2088095238095,84.0,POINT (845959.3548279945 5608970.653286783),[100.],0.0,0,1,105.0,100.20191471901431,-20.006894804795195
2013-01-24 00:00:00,3.8,PO0170710RC478,850186.4188254578,5579048.990993886,35.0,31.2,10.0,30.73280487804879,82.0,POINT (850186.4188254578 5579048.990993886),[-121.36992],0.0,0,1,25.0,34.78114587590966,4.048340997860869
2013-06-21 00:00:00,0.34,PO0170860UC579,849926.6151556993,5588976.730996885,56.0,55.66,47.0,54.954347826086966,23.0,POINT (849926.6151556993 5588976.730996885),[-87.991773],0.0,0,1,9.0,57.31659709832749,2.3622492722405255
2013-01-24 00:00:00,1.23,PO0170880RC541,841297.2946522807,5592942.532627356,61.0,59.77,12.0,59.46927536231885,69.0,POINT (841297.2946522807 5592942.532627356),[-56.270892],0.0,0,1,49.0,66.78766357226822,7.318388209949369
2013-01-29 00:00:00,3.8,PO0170910UC622,826103.4400729446,5606945.949484381,107.0,103.2,73.0,103.58292682926832,41.0,POINT (826103.4400729446 5606945.949484381),[33.868968],0.0,0,1,34.0,99.89570188389182,-3.6872249453764994
2015-03-25 00:00:00,5.31,PO017103NRP001,834446.7606967897,5594695.539887873,60.0,54.69,48.0,53.73,56.0,POINT (834446.7606967897 5594695.539887873),[-50.],0.0,0,1,12.0,69.51390535847041,15.783905358470413
2016-01-28 00:00:00,4.4,PO0171220R0001,831322.2890273253,5596747.266424997,72.0,67.6,33.0,67.01795454545457,44.0,POINT (831322.2890273253 5596747.266424997),[-37.605621],0.0,0,1,39.0,73.14904316892296,6.131088623468386
2015-03-25 00:00:00,1.6,PO017203NUP001,853367.3799899098,5589312.482370454,60.0,58.4,150.0,58.39102040816325,49.0,POINT (853367.3799899098 5589312.482370454),[-96.410786],0.0,0,1,-90.0,56.773422470899476,-1.617597937263774
2013-03-06 00:00:00,5.25,PO0190210U0218,861110.7269618454,5552999.340884256,21.0,15.75,127.0,15.088928571428571,28.0,POINT (861110.7269618454 5552999.340884256),[-250.],0.0,0,1,-106.0,23.486605200980904,8.397676629552333
2013-01-07 00:00:00,6.2,PO019027NRA001,818808.588725229,5586639.444031601,64.0,57.8,18.0,57.7264705882353,85.0,POINT (818808.588725229 5586639.444031601),[-43.121634],0.0,0,1,46.0,48.311889485259385,-9.414581102975916
2013-03-06 00:00:00,3.42,PO019031NU0313,846573.362301033,5564791.31484795,29.0,25.58,187.5,25.35931034482758,29.0,POINT (846573.362301033 5564791.31484795),[-271.31004],0.0,0,1,-158.5,27.204337032691456,1.845026687863875
2013-01-07 00:00:00,1.02,PO019033NRA001,831884.1701784099,5577692.350135643,46.0,44.98,15.0,44.77811764705882,85.0,POINT (831884.1701784099 5577692.350135643),[-135.01149],0.0,0,1,31.0,34.35268665197518,-10.425430995083637
2013-01-09 00:00:00,5.95,PO019035NRA001,795709.0092921891,5593672.486446448,76.0,70.05,10.0,69.90289156626507,83.0,POINT (795709.0092921891 5593672.486446448),[0.],0.0,0,1,66.0,65.54928205387216,-4.353609512392907
